标题,日期,url,地块编号（主）,地块编号（副）,地块位置,宗地面积,土地用途,容积率,起始价,成交价(万元),其他
﻿诸暨市国土资源局国有建用地使用权挂牌出让公告(诸土出告字[2017]15号),2017-05-28,http://www.zjdlr.gov.cn/art/2017/5/28/art_1071192_19088.html,诸土出告字[2017]15号,牌头镇长潭街村地块,牌头镇长潭街村,2512平方米,其他商服用地,1.5≤容积率≤2.2,359万元,,: ; 土地估价备案号: ; 加价幅度:5万元 ; 投资强度:0万元/公顷 ; 建筑密度(%):20≤建筑密度≤30 ; 建筑限高(米): ; 绿化率(%):≥15 ; 保证金:72万元 ; 挂牌截止时间:2017年06月28日16时00分 ; 出让年限:40年 ; 挂牌开始时间:2017年06月19日09时00分
﻿诸暨市国土资源局国有建用地使用权挂牌出让公告(诸土出告字[2017]15号),2017-05-28,http://www.zjdlr.gov.cn/art/2017/5/28/art_1071192_19088.html,诸土出告字[2017]15号,牌头镇同文村地块,牌头镇同文村,1401平方米,其他商服用地,1≤容积率≤1.1,125万元,,: ; 土地估价备案号: ; 加价幅度:5万元 ; 投资强度:0万元/公顷 ; 建筑密度(%):20≤建筑密度≤30 ; 建筑限高(米): ; 绿化率(%):≥15 ; 保证金:25万元 ; 挂牌截止时间:2017年06月28日16时00分 ; 出让年限:40年 ; 挂牌开始时间:2017年06月19日09时00分
﻿余姚市国土资源局国有建用地使用权挂牌出让公告(余国土告字[2017]6号),2017-05-28,http://www.zjdlr.gov.cn/art/2017/5/28/art_1071192_19087.html,余国土告字[2017]6号,2017-24,梨洲街道世南东路北侧、城东路西侧,73811平方米,普通商品住房用地,1.2≤容积率≤1.3,53697.5025万元,,: ; 土地估价备案号: ; 加价幅度:110.7165万元 ; 投资强度:0万元/公顷 ; 建筑密度(%):≤28 ; 建筑限高(米):≤18 ; 绿化率(%):≥30 ; 保证金:12000万元 ; 挂牌截止时间:2017年06月29日14时30分 ; 出让年限:70年 ; 备注:根据规划要求，该地块沿道路可结建适量居住配套商业用房，比例为5.2%-10% ; 挂牌开始时间:2017年06月16日08时30分 ; 现状土地条件按现状:
﻿余姚市国土资源局国有建用地使用权挂牌出让公告(余国土告字[2017]6号),2017-05-28,http://www.zjdlr.gov.cn/art/2017/5/28/art_1071192_19087.html,余国土告字[2017]6号,2017-25,梨洲街道世南东路北侧、城东路东侧,65793平方米,普通商品住房用地,1.5≤容积率≤1.6,49344.75万元,,: ; 土地估价备案号: ; 加价幅度:98.6895万元 ; 投资强度:0万元/公顷 ; 建筑密度(%):≤25 ; 建筑限高(米):≤36 ; 绿化率(%):≥30 ; 保证金:10000万元 ; 挂牌截止时间:2017年06月29日14时30分 ; 出让年限:70年 ; 挂牌开始时间:2017年06月16日08时30分 ; 现状土地条件按现状:
﻿余姚市国土资源局国有建用地使用权挂牌出让公告(余国土告字[2017]6号),2017-05-28,http://www.zjdlr.gov.cn/art/2017/5/28/art_1071192_19087.html,余国土告字[2017]6号,2017-26,梨洲街道世南东路南侧、城东路东侧,30750平方米,普通商品住房用地,2.2≤容积率≤2.5,27675万元,,: ; 土地估价备案号: ; 加价幅度:46.125万元 ; 投资强度:0万元/公顷 ; 建筑密度(%):≤22 ; 建筑限高(米):≤100 ; 绿化率(%):≥30 ; 保证金:6000万元 ; 挂牌截止时间:2017年06月29日14时30分 ; 出让年限:70年 ; 挂牌开始时间:2017年06月16日08时30分 ; 现状土地条件按现状:
﻿余姚市国土资源局国有建用地使用权挂牌出让公告(余国土告字[2017]6号),2017-05-28,http://www.zjdlr.gov.cn/art/2017/5/28/art_1071192_19087.html,余国土告字[2017]6号,2017-27,梨洲街道北兰江路北侧、中山路东侧,13801平方米,普通商品住房用地,1.5≤容积率≤1.6,9315.675万元,,: ; 土地估价备案号: ; 加价幅度:20.7015万元 ; 投资强度:0万元/公顷 ; 建筑密度(%):≤28 ; 建筑限高(米):≤21 ; 绿化率(%):≥30 ; 保证金:2000万元 ; 挂牌截止时间:2017年06月29日14时30分 ; 出让年限:70年 ; 挂牌开始时间:2017年06月16日08时30分 ; 现状土地条件按现状:
﻿丽水市国土资源局国有建用地使用权挂牌出让公告(丽土告字[2017]13号),2017-05-28,http://www.zjdlr.gov.cn/art/2017/5/28/art_1071192_19086.html,丽土告字[2017]13号,2017014,丽水南城成大街与江南路交叉口西北侧,87150平方米,普通商品住房用地,1.7≤容积率≤1.8,22185万元,,: ; 土地估价备案号:3304217BA0102 ; 加价幅度:20万元 ; 投资强度:0万元/公顷 ; 建筑密度(%):≤20 ; 建筑限高(米): ; 绿化率(%):≥30 ; 保证金:11093万元 ; 挂牌截止时间:2017年06月27日09时30分 ; 出让年限:70年 ; 挂牌开始时间:2017年06月18日09时00分
﻿杭州市国土资源局萧山分局国有建用地使用权挂牌出让公告(萧政储出告字[2017]8、10号),2017-05-28,http://www.zjdlr.gov.cn/art/2017/5/28/art_1071192_19085.html,萧政储出告字[2017]8、10号,萧政储出[2017]10号,蜀山西单元,8715平方米,其他商服用地,≤2,6798万元,,: ; 土地估价备案号: ; 加价幅度:50万元 ; 投资强度:0万元/公顷 ; 建筑密度(%):≤40 ; 建筑限高(米):≤60 ; 绿化率(%):≥25 ; 保证金:1360万元 ; 挂牌截止时间:2017年06月29日14时00分 ; 出让年限:40年 ; 挂牌开始时间:2017年06月19日08时30分
﻿杭州市国土资源局萧山分局国有建用地使用权挂牌出让公告(萧政储出告字[2017]8、10号),2017-05-28,http://www.zjdlr.gov.cn/art/2017/5/28/art_1071192_19085.html,萧政储出告字[2017]8、10号,萧政储出[2017]8号,萧山城区北干东单元,12505平方米,普通商品住房用地,1<容积率≤3.3,48226万元,,: ; 土地估价备案号: ; 加价幅度:100万元 ; 投资强度:0万元/公顷 ; 建筑密度(%):≤35 ; 建筑限高(米):≤100 ; 绿化率(%):≥30 ; 保证金:9646万元 ; 挂牌截止时间:2017年06月29日14时00分 ; 出让年限:70年 ; 挂牌开始时间:2017年06月19日08时30分
﻿余姚市国土资源局国有建用地使用权挂牌出让公告(余国土告字[2017]7号),2017-05-28,http://www.zjdlr.gov.cn/art/2017/5/28/art_1071192_19084.html,余国土告字[2017]7号,2017-28,滨海新城滨海大道北侧、兴谐路西侧,246851平方米,其他工业用地,1≤容积率≤2,6851.5964万元,,: ; 土地估价备案号: ; 加价幅度:37.0277万元 ; 投资强度:4050万元/公顷 ; 建筑密度(%):≤50 ; 建筑限高(米):≤24 ; 绿化率(%):≤20 ; 保证金:1370万元 ; 挂牌截止时间:2017年06月30日14时30分 ; 出让年限:50年 ; 挂牌开始时间:2017年06月19日08时30分 ; 现状土地条件按现状:
﻿余姚市国土资源局国有建用地使用权挂牌出让公告(余国土告字[2017]7号),2017-05-28,http://www.zjdlr.gov.cn/art/2017/5/28/art_1071192_19084.html,余国土告字[2017]7号,2017-29,滨海新城曹娥路西侧、兴海路南侧,33734平方米,其他工业用地,0.8≤容积率≤2,895.0811万元,,: ; 土地估价备案号: ; 加价幅度:5.0601万元 ; 投资强度:4950万元/公顷 ; 建筑密度(%):≤50 ; 建筑限高(米):≤24 ; 绿化率(%):≤20 ; 保证金:179万元 ; 挂牌截止时间:2017年06月30日14时30分 ; 出让年限:30年 ; 挂牌开始时间:2017年06月19日08时30分 ; 现状土地条件按现状:
